问题:辩证法所要回答的是世界是否可知的问题。（    ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】辩证法即思辩与实证相统一的方法。辩证法是关于对立统一、斗争和运动、普遍联系和变化发展的哲学学说。马克思主义认为，辩证法是关于普遍联系的科学，是在肯定矛盾的基础上关于发展的学说，是关于自然、人类社会和思维发展的最一般规律的科学。辩证法主张用联系的、发展的、全面的观点看问题，与此对立的观点是形而上学，形而上学坚持用孤立的、静止的、片面的观点看问题，因此，辩证法回答的是世界的状况是怎样的问题。世界是否可知是划分可知论与不可知论的依据。故表述错误。","
来源:2013年6月四川省宜宾市事业单位考试《公共科目》题（精选）第1题","
出错率：72.37%","
易错选项：0"
问题:“心诚则灵，心不诚则不灵”说的是（  ）。,,"
选项：['A', '.', '辩', '证', '唯', '物', '主', '义', '观', '点', '\n', 'B', '.', '庸', '俗', '唯', '物', '主', '义', '观', '点', '\n', 'C', '.', '客', '观', '唯', '心', '主', '义', '观', '点', '\n', 'D', '.', '夸', '大', '意', '识', '能', '动', '作', '用', '的', '唯', '心', '主', '义', '观', '点', '\n']","
答案：3","
【解析】题干的意思是心诚就灵验，反之就不灵验，它强调的是“心”——一种精神的力量，显然它夸大了主观能动性也就是意识的能动作用，是一种唯心主义观点。主观唯心主义把本体的某种主观精神如感觉、经验、心灵、意识、观念、意志等看作是意识世界中一切事物产生和存在的根源与基础，而意识世界中的一切事物则是由这些主观精神派生的。客观唯心主义把客观精神（如“上帝”、理念、“绝对精神”等）看作世界的主宰和本原，指出现实的物质世界只是这些客观精神的外化和表现。“心诚则灵，心不诚则不灵”体现的是主观唯心主义的观点。故正确答案为D。","
来源:2014年黑龙江省哈尔滨市直及所属事业单位考试 《综合知识》题第63题","
出错率：80.88%","
易错选项：2"
问题:古代中国人认为天地“有容乃大”。对天地的理解是：天在上，地在下；天为阳，地为阴；天为金，地为木；天性刚，地性柔。认为天地和而万物生焉。上述观点不足之处在于（  ）。,,"
选项：['A', '.', '否', '认', '了', '意', '识', '对', '物', '质', '的', '能', '动', '作', '用', '\n', 'B', '.', '在', '自', '然', '观', '上', '坚', '持', '了', '唯', '心', '主', '义', '观', '点', '\n', 'C', '.', '没', '有', '看', '到', '世', '界', '是', '不', '断', '变', '化', '发', '展', '的', '\n', 'D', '.', '把', '物', '质', '的', '具', '体', '形', '态', '当', '作', '世', '界', '的', '本', '原', '\n']","
答案：3","
【解析】题干观点认为天地和而万物生，天地是世界万物的本原，这是典型的朴素唯物主义的观点，朴素唯物主义认为世界的本原是一种或几种具体的物质，把物质的具体形态当作世界的本原。这是朴素唯物主义的不足之处。马克思主义认为世界的本原是物质而不是一种或几种具体的物质。本题为选非题，故正确答案为D。","
来源:2014年山东省临沂市事业单位考试《公共基础知识》题第51题","
出错率：51.11%","
易错选项：1"
问题:唯物主义和唯心主义，辩证法和形而上学，是哲学上两个并列的对子。（  ）,,"
选项：['正', '确', '(', ')', ' ', ' ', ' ', ' ', '错', '误', '（', ')']","
答案：1","
【解析】本题考查政治常识，主要考查哲学概述中哲学的基本派别与哲学概念的相关知识点。从思想观点上看，哲学史中存在的两个对子“唯物主义和唯心主义，辩证法和形而上学”，但这两个对子属于源与流的关系问题。唯物主义与唯心主义是源，辩证法与形而上学是流，所以并不是等量齐观的，也不是并列的。故表述错误。","
来源:2017年4月8日山东省齐河县事业单位考试《公共基础知识》题（部分）第27题","
出错率：46.53%","
易错选项：0"
问题:划分唯物主义与唯心主义的标准是（  ）。,,"
选项：['A', '.', '世', '界', '是', '否', '可', '知', '的', '问', '题', '\n', 'B', '.', '世', '界', '是', '否', '运', '动', '变', '化', '的', '问', '题', '\n', 'C', '.', '思', '维', '和', '存', '在', '何', '者', '为', '第', '一', '的', '问', '题', '\n', 'D', '.', '是', '否', '承', '认', '世', '界', '的', '物', '质', '统', '一', '性', '\n']","
答案：2","
【解析】哲学问题第一方面，是思维和存在何为第一性的问题，对哲学基本问题第一个方面的不同回答是划分唯物主义和唯心主义的标准。承认物质决定意识，存在决定思维，是唯物主义；承认意识决定物质，思维决定存在，是唯心主义。A项错误，世界是否可知是划分“可知论”与“不可知论”的标准。B项错误，世界是否运动变化的问题是划分“辩证法”与“形而上学”的标准。D项错误，世界物质统一性原理是人们从哲学基本问题的高度，从一般和个别关系的角度对世界本质的认识，也就是说，在世界物质统一性原理中包含着两种基本关系，即物质和意识的关系、一般和个别（或统一性和多样性）的关系。不是划分唯物主义与唯心主义的标准。故正确答案为C。","
来源:2013年10月河北省衡水市直属事业单位考试《公共基础知识》题（精选）第25题","
出错率：89.3%","
易错选项：3"
问题:2013年8月4日，第二十三届国际哲学大会在希腊雅典召开。会议反思当代世界中哲学的任务和功能，并考虑其贡献、期望远景以及哲学意识与其他学科的间隙，与政治、经济、社会、宗教、技术等活动，还有与多样的文化和传统的间隙。这体现了(  )。,,"
选项：['A', '.', '要', '有', '世', '界', '观', '和', '方', '法', '论', '，', '就', '必', '须', '学', '习', '哲', '学', '\n', 'B', '.', '学', '了', '哲', '学', '，', '就', '会', '有', '正', '确', '的', '世', '界', '观', '和', '方', '法', '论', '\n', 'C', '.', '世', '界', '观', '是', '人', '们', '自', '觉', '形', '成', '的', '哲', '学', '思', '想', '体', '系', '\n', 'D', '.', '哲', '学', '既', '是', '关', '于', '世', '界', '观', '的', '学', '说', '，', '又', '是', '关', '于', '方', '法', '论', '的', '学', '说', '\n']","
答案：3","
【解析】A项错误，哲学是同人们的世界观联系在一起的，是人们世界观的理论表现形态，是理论化、系统化了的世界观，人人都有自己的世界观，但哲学作为世界观的理论体系，不是自发的，而是要通过自觉的学习和训练才能掌握的。B项错误，哲学是关于世界观的学说，但并非任何哲学都是正确的世界观，马克思主义哲学是正确的世界观。C项错误，哲学作为一门学问，是理论化、系统化了的世界观，不是自发的，而是要通过自觉的学习和训练才能掌握的。D项正确，世界哲学大会反思哲学的功能、贡献，说明哲学对指导人们行为有巨大的作用，人们可以通过哲学来获得认识事物的方法。这体现了哲学是世界观与方法论的统一。故正确答案为D。","
来源:2014年5月黑龙江省直事业单位考试 《综合知识》题第1题","
出错率：89.39%","
易错选项：2"
问题:下列有关意识的说法中，不属于辩证唯物主义的观点的有（）,,"
选项：['A', '.', '意', '识', '和', '物', '质', '一', '样', '从', '来', '就', '存', '在', '\n', 'B', '.', '意', '识', '是', '人', '脑', '中', '固', '有', '的', '\n', 'C', '.', '意', '识', '是', '自', '然', '界', '长', '期', '发', '展', '到', '一', '定', '阶', '段', '的', '产', '物', '\n', 'D', '.', '意', '识', '是', '人', '脑', '的', '分', '泌', '物', '，', '如', '同', '肝', '分', '泌', '胆', '汁', '\n']","
答案：0,1,3","
【解析】本题考查的是政治常识。辩证唯物主义认为物质决定意识，世界的本质是物质，是不依赖于人的意识而客观存在的；意识是自然界和社会发展到一定阶段的产物，是人脑对客观存在的反映，它对物质具有能动作用。　　　　A项：错误，物质决定意识，物质是本原，意识是派生的，故二者不是从来就存在。　　　　B项：错误，意识是自然界和社会发展的产物，是人脑的机能，是对客观世界的主观反映，不能说意识是人脑中固有的。　　　　C项：正确，物质决定意识，物质是本原，意识是物质世界发展到一定阶段的产物。　　　　D项：错误，意识是人脑的机能，是对客观世界的主观反映，并不是人脑的分泌物。　　　　本题为选非题，故正确答案为ABD。","
来源:2017年2月四川省成都市市属事业单位考试《公共基础知识》题第63题","
出错率：29.74%","
易错选项：2"
问题:下列属于主观唯心主义的有（  ）,,"
选项：['A', '.', '心', '外', '无', '物', '\n', 'B', '.', '存', '在', '即', '是', '被', '感', '知', '\n', 'C', '.', '人', '病', '则', '忧', '惧', '，', '忧', '惧', '则', '鬼', '出', '\n', 'D', '.', '没', '有', '调', '查', '就', '没', '有', '发', '言', '权', '\n']","
答案：0,1","
【解析】本题考查哲学的基本派别的相关知识。主观唯心主义是一个哲学理论。其提出某主体的心灵是世界中事物产生和存在的根源与基础，而外部世界中的一切事物则是由这些主观精神所派生的，是这些主观精神的显现。A项正确，“心外无物”是明代思想家王阳明的重要观点，它的含义是，在心灵之外不存在客观事物，心灵是客观事物的来源和基础。属于主观唯心主义。B项正确，“存在即是被感知”是英国哲学家贝克莱的主要观点，它强调人的感觉经验。一个事物的存在不是因为它存在着，而是因为你感觉到了它。属于主观唯心主义。C项错误，“人病则忧惧，忧惧则鬼出”是东汉思想家王充的观点，它的意思是人生病了就有危机感和恐惧感，恐惧的时候就容易看到有“鬼”出没。其实鬼并不存在，只存在于某些人的内心，是因为害怕才会恐惧于鬼的存在，而不是说真的有鬼。忧惧和鬼的意识的产生是由疾病的客观存在决定的。属于古代朴素唯物主义。D项错误，“没有调查，没有发言权”是毛主席提出的著名论断。调查研究是从实际出发的中心一环，是尊重客观规律、发挥主观能动性的典型形式。调查研究既是“从物到感觉和思想”的唯物主义认识路线的具体体现，也是发挥人的主观能动性把握客观规律的具体途径，因此是一切从实际出发的根本方法。属于辩证唯物主义。故正确答案为AB。","
来源:2017年江西南昌事业单位考试《公共基础知识》题第110题","
出错率：35.21%","
易错选项：2"
问题:下列关于我国传统文化中各类“关系”的表述，不包括哲学的基本问题性质的是______。,,"
选项：['A', '.', '心', '物', '关', '系', '\n', 'B', '.', '形', '神', '关', '系', '\n', 'C', '.', '理', '气', '关', '系', '\n', 'D', '.', '人', '际', '关', '系', '\n']","
答案：3","
【解析】本题考查的是哲学常识，思维和存在的关系问题是哲学的基本问题。A项正确，心物关系中，心指是意识，物指的是物质。因此心物关系体现的是哲学的基本问题。B项正确，形神关系中，形指是物质，神指的是意识。因此形神关系体现的是哲学的基本问题。C项正确，理气关系中，理指是意识，气指的是物质。因此理气关系体现的是哲学的基本问题。D项错误，人际关系没有体现哲学的基本问题。本题为选非题，故正确答案是D。","
来源:2016年山东事业单位考试《公共基础知识》题（综合类客观题）第39题","
出错率：89.61%","
易错选项：2"
问题:“自古逢秋悲寂寥，我言秋日胜春朝。晴空一鹤排云上，便引诗情到碧霄。”从辩证唯物主义的角度，这首诗体现了（    ）。,,"
选项：['A', '.', '主', '体', '能', '够', '建', '构', '客', '体', '\n', 'B', '.', '不', '同', '的', '认', '识', '主', '体', '对', '同', '一', '事', '物', '的', '认', '识', '会', '有', '差', '别', '\n', 'C', '.', '意', '识', '决', '定', '物', '质', '对', '同', '一', '事', '物', '的', '认', '识', '应', '该', '一', '致', '\n', 'D', '.', '意', '识', '的', '差', '异', '性', '取', '决', '于', '客', '观', '事', '物', '的', '差', '异', '性', '\n']","
答案：1","
【解析】本题考查马克思主义哲学。题干中诗句的意思是自古以来每逢秋天都会感到悲凉寂寥，我却认为秋天要胜过春天。万里晴空，一只鹤凌云而飞起，就引发我的诗兴到了蓝天上了。A项错误，哲学中，主体指认识者，即进行实践活动的人，客体指和主体相对立的客观世界，即主体的认识和改造对象。客观世界不依赖与人而存在，即客体不依赖于主体，人不能够构建客体。选项表述错误，且与题干无关，排除。B项正确，诗句表达了诗人对秋天的另一种态度，不像前人一样感觉秋天很悲凉寂寥，体现了不同的认识主体对同一事物的认识有差别，当选。C项错误，选项表述错误，物质决定意识，意识是对物质的反映，意识不是自生的和先验的，认识世界的形式是主观的，认识世界的内容是客观的，排除。D项错误，诗句中同样是对秋天的感觉，但是不同的人有不同的意识，客观事物一样但是意识有差异，排除。故正确答案为B。","
来源:2018年12月四川省泸州市事业单位考试《综合知识》题第26题","
出错率：78.83%","
易错选项：3"
问题:与“惠仁心动”具有相同哲理的是（   ）。,,"
选项：['A', '.', '心', '外', '无', '花', '\n', 'B', '.', '存', '在', '即', '被', '感', '知', '\n', 'C', '.', '理', '在', '事', '先', '\n', 'D', '.', '宇', '宙', '即', '吾', '心', '\n']","
答案：0,1,3","
【解析】本题主要考查哲学的基本派别。唯心主义可分为主观唯心主义和客观唯心主义，主观唯心主义把主体的主观精神，如感觉、经验、心灵、意识、观念、意志等看作是意识世界中一切事物产生和存在的根源与基础。“惠仁心动”指一切从心起，心不起则一切不起，心不动则一切不动。属于主观唯心主义。A项正确，“心外无花”意为心与物同体，物不能离开心而存在，心也不能离开物存在，属于主观唯心主义的观点。B项正确，“存在即被感知”由英国贝克莱提出，意为构成宇宙的万物，在心灵以外没有任何存在，它们的存在就是被感知或被知道，属于主观唯心主义的观点。C项错误，“理在事先”由我国宋代朱熹提出，意为理是永恒的、先于世界而存在的精神实体，世界万物只能由“理”派生，属于客观唯心主义的观点。D项正确，“宇宙即吾心”是中国宋代哲学家陆九渊的重要哲学命题，意为派生客观世界的本体是“吾心”，属于主观唯心主义的观点。故正确答案为ABD。","
来源:2017年山西省阳泉市事业单位考试《公共基础知识》题第127题","
出错率：50.19%","
易错选项：2"
问题:下列选项，属于主观唯心主义的是（    ）。,,"
选项：['A', '.', '物', '是', '观', '念', '的', '集', '合', '\n', 'B', '.', '天', '地', '合', '而', '万', '物', '生', '，', '阴', '阳', '接', '而', '变', '化', '起', '\n', 'C', '.', '道', '生', '一', '，', '一', '生', '二', '，', '二', '生', '三', '\n', 'D', '.', '万', '物', '皆', '是', '一', '理', '\n']","
答案：0","
【解析】本题考查马克思主义哲学。A项正确，主观唯心主义，认为万事万物都是“我”的感觉、观念、意志、情感等的产物，没有“我”就没有世界。“物是观念的集合”认为客观世界的存在依赖于人的观念，属于主观唯心主义的观点。B项错误，“天地合而万物生，阴阳接而变化起”是荀子的观点，属于古代朴素唯物主义观点。释义为：“万物都是天地与阴阳变化相互作用的结果，万物的生化是自然而然的，是没有意志与目的的。”古代朴素唯物主义将世界的本原物质归结为一种或者几种实物。C项错误，老子提出：“道生一，一生二，二生三，三生万物”，认为万事万物从“道”而来，是独立于人之外的一种神秘的客观精神。属于客观唯心主义的观点。D项错误，“万物皆是一理”为程颐的观点。他把“客观”精神当成是世界的本原，属于客观唯心主义观点。故正确答案为A。","
来源:2020《公共基础知识》模考大赛（第十六季）第12题","
出错率：66.96%","
易错选项：3"
问题:哲学是（  ）的概括和总结。,,"
选项：['A', '.', '自', '然', '知', '识', '\n', 'B', '.', '社', '会', '知', '识', '\n', 'C', '.', '思', '维', '知', '识', '\n', 'D', '.', '文', '化', '知', '识', '\n']","
答案：0,1,2","
【解析】本题考查哲学的基本概念。人类在实践中逐渐形成了各种各样的知识，大致可以分为三类，一类是认识和改造自然的知识，即自然知识；一类是认识和改造社会的知识，即社会知识；一类是关于人的认识和思维的知识，即思维知识。哲学是人类对于自然、社会、思维的各种知识进行概括、总结和反思的一门学问。是对具体科学知识的概括和升华，从中抽象出最一般的本质和最普遍的规律。A、B、C项都属于哲学概括和总结的范畴，而D项不符合哲学概括和总结的范畴。","
来源:2016年江苏省南通如皋市事业单位考试《公共基础知识》题第104题","
出错率：23.11%","
易错选项：3"
问题:下列不能体现形而上学观点的是（  ）,,"
选项：['A', '.', '物', '极', '必', '反', '\n', 'B', '.', '刻', '舟', '求', '剑', '\n', 'C', '.', '断', '章', '取', '义', '\n', 'D', '.', '墨', '守', '成', '规', '\n']","
答案：0","
【解析】本题考查形而上学观点知识。形而上学观点即孤立、静止、片面的观点。A项错误，物极必反指事物发展到极端，会向相反方向转化。强调矛盾双方在一定条件下可以相互转化，体现了辩证法的观点。B项正确，刻舟求剑比喻人的眼光未必与客观世界的发展变化同步，也比喻办事刻板，拘泥而不知变通。体现了形而上学中静止的观点。C项正确，断章取义指不顾全篇文章或谈话的内容，孤立地取其中的一段或一句的意思。体现了形而上学中孤立、片面的观点。D项正确，墨守成规指固执旧法，一成不变。体现了形而上学中静止的观点。本题为选非题，故正确答案为A。","
来源:2017年5月13日山东济宁市事业单位综合类考试题（部分）第15题","
出错率：84.06%","
易错选项：1"
问题:下列属于客观唯心主义的是（    ）。,,"
选项：['A', '.', '万', '物', '皆', '备', '于', '我', '\n', 'B', '.', '宇', '宙', '便', '是', '吾', '心', '\n', 'C', '.', '物', '是', '绝', '对', '精', '神', '的', '外', '化', '\n', 'D', '.', '心', '诚', '则', '灵', '\n']","
答案：2","
【解析】本题考查马克思主义哲学。客观唯心主义是唯心主义哲学的两种基本形式之一。认为在物质世界和人类产生之前就独立存在着一种客观精神（理念、理、绝对精神、绝对观念等），这种客观精神在其发展过程中，产生了物质世界。世界是绝对观念的异化，是抽离物质的宇宙法则或意念的创造物。A项错误，“万物皆备于我”的意思是人生存于天地间，万事万物都是为我而准备的，是典型的主观唯心主义。B项错误，“宇宙便是吾心”是主观唯心主义，主张把本体的某种主观精神如感觉、经验、心灵、意识、观念、意志等看作是意识世界中一切事物产生和存在的根源与基础，而意识世界中的一切事物则是由这些主观精神所派生的，是这些主观精神的显现。C项正确，“物是绝对精神的外化”的意思是把客观精神（如上帝、理念、绝对精神、绝对观念等）看作世界的主宰和本原，这句话是黑格尔的名言，属于客观唯心主义的观点。D项错误，“心诚则灵”属于主观唯心主义，是把人的感觉、观念作为唯一真实的存在和世界的本原，认为世界万物是我的精神（感觉、观念、情感、意志等）的产物，没有我就没有世界。故正确答案为C。","
来源:2019年12月内蒙古通辽市事业单位公开招聘工作人员考试精选题第1题","
出错率：66.77%","
易错选项：1"
